datetime,station,wd,wd_in_deg,RAIN,PM2.5,PM10,SO2,NO2,CO,O3,POLUTANT
2013-03-31,Aotizhongxin,NE,133.79402756508424,0.029709035222052066,114.7197549770291,148.29402756508424,46.437978560490045,76.50076569678407,1492.7856049004595,48.511485451761104,1927.249617151608
2013-04-30,Aotizhongxin,SW,164.3266253869969,0.01671826625386997,58.61609907120743,104.5092879256966,23.648606811145513,52.40247678018576,906.4427244582043,50.28409566563467,1195.9032907120743
2013-05-31,Aotizhongxin,SW,165.6452922077922,0.007954545454545455,88.46753246753246,140.28896103896105,29.25974025974026,59.813311688311686,942.9659090909091,72.63661590909092,1333.4320704545455
2013-06-30,Aotizhongxin,NE,116.8389662027833,0.15825049701789262,110.13916500994036,135.01192842942345,15.013916500994036,73.9145129224652,1346.3598409542744,64.08747514910537,1744.5268389662028
2013-07-31,Aotizhongxin,NE,145.21848137535815,0.30171919770773636,68.63467048710602,85.1618911174785,9.340974212034384,54.90830945558739,812.8825214899714,73.08595988538681,1104.0143266475645
2013-08-31,Aotizhongxin,NE,137.5441696113074,0.06307420494699648,61.17667844522968,83.74911660777386,7.270318021201414,58.68021201413428,791.3427561837456,66.28798586572438,1068.5070671378091
2013-09-30,Aotizhongxin,NE,121.23038516405136,0.07874465049928672,78.34522111269615,104.25962910128388,13.823109843081312,64.03281027104137,1064.0456490727531,37.13552068473609,1361.641940085592
2013-10-31,Aotizhongxin,NE,110.04424778761062,0.003982300884955752,95.89675516224189,119.71976401179941,22.65388790560472,72.88938053097345,1115.0442477876106,20.29576460176991,1446.4998
2013-11-30,Aotizhongxin,N,150.62359550561797,0.0,50.157303370786515,77.2314606741573,21.537078651685395,44.14831460674157,1084.4943820224719,25.89863550561798,1303.4671748314609
2013-12-31,Aotizhongxin,NE,132.53048780487805,0.0,87.17276422764228,121.6869918699187,45.91463414634146,66.73577235772358,2027.439024390244,14.48015,2363.42933699187
2014-01-31,Aotizhongxin,NE,133.18342776203966,0.0,98.55524079320114,128.94617563739376,60.18980169971671,68.69405099150141,1916.71388101983,14.78328611898017,2287.8824362606233
2014-02-28,Aotizhongxin,NE,116.47933884297521,0.009421487603305785,137.21652892561983,144.78677685950413,56.74545454545454,65.05454545454545,2002.9752066115702,21.300826446280993,2428.079338842975
2014-03-31,Aotizhongxin,NE,133.77216916780355,0.0012278308321964529,98.33287858117326,146.72442019099591,36.394270122783084,68.49931787175989,1371.487039563438,37.39836289222374,1758.8362892223738
2014-04-30,Aotizhongxin,SW,159.3083462132921,0.01854714064914992,100.35394126738794,169.52704791344667,20.04018547140649,69.28129829984545,903.8639876352396,57.58114374034003,1320.6476043276662
2014-05-31,Aotizhongxin,SW,138.67728531855957,0.07839335180055401,71.75623268698061,135.01149584487536,15.63365650969529,56.30512465373962,806.786703601108,80.40263157894736,1165.8958448753463
2014-06-30,Aotizhongxin,ENE,143.42957746478874,0.2669014084507042,59.30140845070422,60.638028169014085,6.283098591549296,51.39014084507042,696.1971830985915,88.5507042253521,962.3605633802817
2014-07-31,Aotizhongxin,SW,159.94897959183675,0.08244897959183674,93.36326530612244,93.36326530612244,4.363265306122449,48.817687074829934,798.7755102040817,89.51428571428572,1128.1972789115646
